Job ,offers ,Compnay 
Software Engineer - Backend - Revolutionise the payment industry!,"
                                $120k - 150k

                                     | 
Equity                            ","
                        iZettle
                    "
Senior Python Engineer - Remote in US,"
                                $100k - 120k

                                     | 
Equity                            ","
                        Knock.com
                    "
Lead Test Engineer,"
                                £50k - 90k

                            ","
                        The Madison Square Garden Company
                    "
SAP-ABTEILUNGSLEITER (M/W),,"
                        Hays plc
                    "
Lead Platform Engineer,"
                                $90k - 140k

                                     | 
Equity                            ","
                        Lendingblock
                    "
Senior SRE/DevOps Engineer,,"
                        PlayStation
                    "
SAP BW-/BI-BERATER (M/W),,"
                        Hays plc
                    "
Backend Node.js Engineer - Remote in US,"
                                CHF 80k - 105k

                            ","
                        Knock.com
                    "
MediaMonks - AEM Developer - World-class production company,"
                                €40k - 70k

                                     | 
Equity                            ","
                        MediaMonks
                    "
DevOps Engineer (f/m),,"
                        Greentube
                    "
Digital Security / Privacy Course Developer and Instructor (80-100%),,"
                        EPFL Online Education
                    "
Développeur .NET sénior (H/F) – Younited Credit – Paris 9ème – 65k+,,"
                        Mobiskill
                    "
Test Automation Engineer (m/f),,"
                        Greentube
                    "
Senior Flight Control Engineer,,"
                        Lilium
                    "
Flight Test Engineer,"
                                Equity
                            ","
                        Lilium
                    "
Hardware Engineer Avionics,,"
                        Lilium
                    "
Modelling and Simulation Engineer,,"
                        Lilium
                    "
Product Manager (Cloud),,"
                        mongoDB
                    "
Frontend Software Developer - RDF01,,"
                        Open-Xchange GmbH
                    "
Job ,offers ,Compnay 
DevOps Engineer (f/m),,"
                        Greentube
                    "
Backend Software Engineer - Core Java / Concurrency,"
                                $120k - 150k

                                     | 
Equity                            ","
                        trivago N.V.
                    "
Senior Python Engineer - Remote in US,"
                                $100k - 120k

                                     | 
Equity                            ","
                        Knock.com
                    "
Lead Test Engineer,"
                                £50k - 90k

                            ","
                        The Madison Square Garden Company
                    "
SAP-ABTEILUNGSLEITER (M/W),,"
                        Hays plc
                    "
Lead Platform Engineer,"
                                $90k - 140k

                                     | 
Equity                            ","
                        Lendingblock
                    "
Senior SRE/DevOps Engineer,,"
                        PlayStation
                    "
SAP BW-/BI-BERATER (M/W),"
                                CHF 80k - 105k

                            ","
                        Hays plc
                    "
Backend Node.js Engineer - Remote in US,"
                                €40k - 70k

                                     | 
Equity                            ","
                        Knock.com
                    "
MediaMonks - AEM Developer - World-class production company,,"
                        MediaMonks
                    "
Digital Security / Privacy Course Developer and Instructor (80-100%),,"
                        EPFL Online Education
                    "
Développeur .NET sénior (H/F) – Younited Credit – Paris 9ème – 65k+,,"
                        Mobiskill
                    "
Test Automation Engineer (m/f),,"
                        Greentube
                    "
Senior Flight Control Engineer,,"
                        Lilium
                    "
Flight Test Engineer,"
                                Equity
                            ","
                        Lilium
                    "
Hardware Engineer Avionics,,"
                        Lilium
                    "
Modelling and Simulation Engineer,,"
                        Lilium
                    "
Product Manager (Cloud),,"
                        mongoDB
                    "
Software Engineer - Backend - Revolutionise the payment industry!,,"
                        iZettle
                    "
Job ,offers ,Compnay 
Lead Test Engineer,"
                                $100k - 120k

                                     | 
Equity                            ","
                        The Madison Square Garden Company
                    "
Backend Software Engineer - Core Java / Concurrency,"
                                $120k - 150k

                                     | 
Equity                            ","
                        trivago N.V.
                    "
Senior Python Engineer - Remote in US,"
                                £50k - 90k

                            ","
                        Knock.com
                    "
SAP-ABTEILUNGSLEITER (M/W),,"
                        Hays plc
                    "
Lead Platform Engineer,"
                                $90k - 140k

                                     | 
Equity                            ","
                        Lendingblock
                    "
Senior SRE/DevOps Engineer,,"
                        PlayStation
                    "
SAP BW-/BI-BERATER (M/W),,"
                        Hays plc
                    "
Backend Node.js Engineer - Remote in US,"
                                CHF 80k - 105k

                            ","
                        Knock.com
                    "
MediaMonks - AEM Developer - World-class production company,"
                                €40k - 70k

                                     | 
Equity                            ","
                        MediaMonks
                    "
DevOps Engineer (f/m),,"
                        Greentube
                    "
Digital Security / Privacy Course Developer and Instructor (80-100%),,"
                        EPFL Online Education
                    "
Développeur .NET sénior (H/F) – Younited Credit – Paris 9ème – 65k+,,"
                        Mobiskill
                    "
Test Automation Engineer (m/f),,"
                        Greentube
                    "
Senior Flight Control Engineer,,"
                        Lilium
                    "
Flight Test Engineer,"
                                Equity
                            ","
                        Lilium
                    "
Hardware Engineer Avionics,,"
                        Lilium
                    "
Modelling and Simulation Engineer,,"
                        Lilium
                    "
Product Manager (Cloud),,"
                        mongoDB
                    "
Software Engineer - Backend - Revolutionise the payment industry!,,"
                        iZettle
                    "
